0,1,2,3,4,6,7,8,accession_number,company_name,report_period,filed_date,cik
,b. Class A-2a Note Pool Factor,1.0000000,1.0000000,,0.9451776,0.9451776,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
,c. Class A-2b Floating Rate Note Pool Factor,1.0000000,1.0000000,,0.9451776,0.9451776,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
,d. Class A-3 Note Pool Factor,1.0000000,1.0000000,,1.0000000,1.0000000,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
,e. Class A-4 Note Pool Factor,1.0000000,1.0000000,,1.0000000,1.0000000,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
,f. Class B Note Pool Factor,1.0000000,1.0000000,,1.0000000,1.0000000,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
,g. Class C Note Pool Factor,1.0000000,1.0000000,,1.0000000,1.0000000,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
,h. Class D Note Pool Factor,1.0000000,1.0000000,,1.0000000,1.0000000,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
,i. Note Pool Factor,0.8079549,0.8079549,,0.7829781,0.7829781,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
10.,Overcollateralization Target Amount,,,,$,3759375.01,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
11.,Current overcollateralization amount (Pool Balance - Note Balance),,,,$,3759375.01,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
12.,Weighted Average Coupon,,,,8.73,8.73,%,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
13.,Weighted Average Original Term,months,months,,66.73,66.73,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
14.,Weighted Average Remaining Term,months,months,,55.23,55.23,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
15.,1-Month LIBOR for the interest period ending 11/14/2019,,,,0.18363,0.18363,%,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
16.,Note Rate applicable to the Class A-2b notes for the interest period ending 11/14/2019,,,,0.48363,0.48363,%,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
Collections,Collections,,,,,,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
17.,Finance Charges:,,,,,,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
,a. Collections allocable to Finance Charge,,,,$,9094370.59,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
,b. Liquidation Proceeds allocable to Finance Charge,,,,$,953.86,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
,c. Purchase Amount allocable to Finance Charge,,,,$,0.00,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
,d. Available Finance Charge Collections (sum a - c),,,,$,9095324.45,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
18.,Principal:,,,,,,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
,a. Collections allocable to Principal,,,,$,35646479.52,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
,b. Liquidation Proceeds allocable to Principal,,,,$,633241.47,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
,c. Purchase Amount allocable to Principal,,,,$,0.00,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
,d. Available Principal Collections (sum a - c),,,,$,36279720.99,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
19.,Total Finance Charge and Principal Collections (17d + 18d),,,,$,45375045.44,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
20.,Interest Income from Collection Account,,,,$,4825.91,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
21.,Simple Interest Advances,,,,$,0.00,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
22.,Available Collections (Ln19 + 20 + 21),,,,$,45379871.35,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
